Airline,Origin,Dest,typical_distance
9E,ABE,ATL,692.0
9E,ABY,ATL,145.0
9E,AEX,ATL,500.0
9E,AGS,ATL,143.0
9E,AGS,AUS,949.0
9E,AGS,DCA,468.0
9E,AGS,DTW,615.0
9E,AGS,JFK,675.0
9E,AGS,LGA,678.0
9E,ALB,DTW,489.0
9E,ALB,LGA,136.0
9E,ATL,ABE,692.0
9E,ATL,ABY,145.0
9E,ATL,AEX,500.0
9E,ATL,AGS,143.0
9E,ATL,ATW,765.0
9E,ATL,AUS,813.0
9E,ATL,AVL,164.0
9E,ATL,BHM,134.0
9E,ATL,BMI,533.0
9E,ATL,BNA,214.0
9E,ATL,BQK,238.0
9E,ATL,BTR,448.0
9E,ATL,CAE,192.0
9E,ATL,CHA,106.0
9E,ATL,CHO,457.0
9E,ATL,CID,694.0
9E,ATL,CLT,226.0
9E,ATL,CRW,363.0
9E,ATL,CSG,83.0
9E,ATL,CVG,373.0
9E,ATL,DAY,432.0
9E,ATL,DHN,170.0
9E,ATL,DSM,743.0
9E,ATL,ECP,240.0
9E,ATL,EVV,350.0
9E,ATL,EYW,646.0
9E,ATL,FAY,331.0
9E,ATL,FSD,954.0
9E,ATL,FWA,508.0
9E,ATL,GNV,300.0
9E,ATL,GPT,352.0
9E,ATL,GSO,306.0
9E,ATL,GSP,153.0
9E,ATL,GTR,241.0
9E,ATL,HPN,780.0
9E,ATL,HSV,151.0
9E,ATL,ICT,782.0
9E,ATL,ILM,377.0
9E,ATL,JAN,341.0
9E,ATL,LEX,304.0
9E,ATL,LFT,503.0
9E,ATL,LIT,453.0
9E,ATL,MDT,620.0
9E,ATL,MEM,332.0
9E,ATL,MGM,147.0
9E,ATL,MLI,633.0
9E,ATL,MLU,448.0
9E,ATL,MOB,302.0
9E,ATL,MSN,707.0
9E,ATL,MSP,907.0
9E,ATL,OAJ,399.0
9E,ATL,OKC,761.0
9E,ATL,PNS,271.0
9E,ATL,RDU,356.0
9E,ATL,ROA,357.0
9E,ATL,SBN,566.0
9E,ATL,SGF,563.0
9E,ATL,SHV,551.0
9E,ATL,TLH,223.0
9E,ATL,TRI,227.0
9E,ATL,TUL,674.0
9E,ATL,TYS,152.0
9E,ATL,VLD,208.0
9E,ATL,VPS,250.0
9E,ATL,XNA,589.0
9E,ATW,ATL,765.0
9E,ATW,DTW,296.0
9E,ATW,MSP,236.0
9E,AUS,AGS,949.0
9E,AUS,CVG,958.0
9E,AUS,GNV,924.0
9E,AUS,MSP,1042.0
9E,AUS,RDU,1162.0
9E,AUS,XNA,462.0
9E,AVL,ATL,164.0
9E,AVL,LGA,599.0
9E,AZO,DTW,113.0
9E,BDL,DTW,549.0
9E,BDL,LGA,101.0
9E,BDL,MSP,1050.0
9E,BGM,DTW,378.0
9E,BGM,LGA,147.0
9E,BGR,JFK,382.0
9E,BGR,LGA,378.0
9E,BHM,ATL,134.0
9E,BHM,DTW,625.0
9E,BHM,LGA,866.0
9E,BIS,MSP,386.0
9E,BMI,ATL,533.0
9E,BNA,ATL,214.0
9E,BNA,EYW,849.0
9E,BNA,JFK,765.0
9E,BNA,LGA,764.0
9E,BNA,RDU,442.0
9E,BOS,CVG,752.0
9E,BQK,ATL,238.0
9E,BTR,ATL,448.0
9E,BTV,DTW,537.0
9E,BTV,JFK,266.0
9E,BTV,LGA,258.0
9E,BUF,DTW,241.0
9E,BUF,JFK,301.0
9E,BUF,LGA,292.0
9E,BWI,JFK,184.0
9E,CAE,ATL,192.0
9E,CAE,LGA,617.0
9E,CAE,OKC,943.0
9E,CHA,ATL,106.0
9E,CHA,DTW,505.0
9E,CHA,LGA,734.0
9E,CHO,ATL,457.0
9E,CHO,LGA,305.0
9E,CHS,DTW,667.0
9E,CHS,JFK,636.0
9E,CHS,LGA,641.0
9E,CHS,MSP,1087.0
9E,CID,ATL,694.0
9E,CID,DTW,430.0
9E,CID,MSP,220.0
9E,CLE,DTW,95.0
9E,CLE,JFK,425.0
9E,CLE,LGA,419.0
9E,CLE,MSP,622.0
9E,CLT,ATL,226.0
9E,CLT,DTW,500.0
9E,CLT,JFK,541.0
9E,CLT,LGA,544.0
9E,CLT,MSP,930.0
9E,CMH,DTW,155.0
9E,CMH,JFK,483.0
9E,CMH,LGA,479.0
9E,CMH,MSP,626.0
9E,CRW,ATL,363.0
9E,CSG,ATL,83.0
9E,CVG,ATL,373.0
9E,CVG,AUS,958.0
9E,CVG,BOS,752.0
9E,CVG,DCA,411.0
9E,CVG,DTW,229.0
9E,CVG,EWR,569.0
9E,CVG,FLL,932.0
9E,CVG,JFK,589.0
9E,CVG,LGA,585.0
9E,CVG,MSP,596.0
9E,CVG,RDU,390.0
9E,CVG,RSW,879.0
9E,CVG,TPA,773.0
9E,CWA,MSP,175.0
9E,DAY,ATL,432.0
9E,DAY,LGA,549.0
9E,DCA,AGS,468.0
9E,DCA,CVG,411.0
9E,DCA,DTW,405.0
9E,DCA,JFK,213.0
9E,DCA,MSP,931.0
9E,DCA,RDU,227.0
9E,DFW,JFK,1391.0
9E,DHN,ATL,170.0
9E,DLH,MSP,144.0
9E,DSM,ATL,743.0
9E,DSM,DTW,533.0
9E,DSM,LGA,1031.0
9E,DSM,MSP,232.0
9E,DTW,AGS,615.0
9E,DTW,ALB,489.0
9E,DTW,ATW,296.0
9E,DTW,AZO,113.0
9E,DTW,BDL,549.0
9E,DTW,BGM,378.0
9E,DTW,BHM,625.0
9E,DTW,BTV,537.0
9E,DTW,BUF,241.0
9E,DTW,CHA,505.0
9E,DTW,CHS,667.0
9E,DTW,CID,430.0
9E,DTW,CLE,95.0
9E,DTW,CLT,500.0
9E,DTW,CMH,155.0
9E,DTW,CVG,229.0
9E,DTW,DCA,405.0
9E,DTW,DSM,533.0
9E,DTW,GRB,287.0
9E,DTW,GRR,120.0
9E,DTW,GSO,460.0
9E,DTW,GSP,508.0
9E,DTW,HPN,505.0
9E,DTW,HSV,554.0
9E,DTW,IAD,383.0
9E,DTW,IND,231.0
9E,DTW,JFK,509.0
9E,DTW,LAN,74.0
9E,DTW,LEX,296.0
9E,DTW,LGA,502.0
9E,DTW,MBS,98.0
9E,DTW,MCI,629.0
9E,DTW,MDT,371.0
9E,DTW,MEM,610.0
9E,DTW,MKE,237.0
9E,DTW,MQT,349.0
9E,DTW,MSN,311.0
9E,DTW,MSY,926.0
9E,DTW,OMA,651.0
9E,DTW,ORD,235.0
9E,DTW,ORF,529.0
9E,DTW,PHL,453.0
9E,DTW,PIT,201.0
9E,DTW,PVD,615.0
9E,DTW,PWM,668.0
9E,DTW,RDU,501.0
9E,DTW,RIC,456.0
9E,DTW,ROC,296.0
9E,DTW,SBN,157.0
9E,DTW,SDF,306.0
9E,DTW,STL,440.0
9E,DTW,SYR,374.0
9E,DTW,TVC,207.0
9E,DTW,TYS,443.0
9E,DTW,XNA,715.0
9E,ECP,ATL,240.0
9E,EVV,ATL,350.0
9E,EWR,CVG,569.0
9E,EWR,RDU,416.0
9E,EYW,ATL,646.0
9E,EYW,BNA,849.0
9E,FAR,MSP,223.0
9E,FAY,ATL,331.0
9E,FLL,CVG,932.0
9E,FLL,RDU,680.0
9E,FSD,ATL,954.0
9E,FSD,MSP,196.0
9E,FWA,ATL,508.0
9E,FWA,DTW,128.0
9E,FWA,MSP,488.0
9E,GFK,MSP,284.0
9E,GNV,ATL,300.0
9E,GNV,AUS,924.0
9E,GPT,ATL,352.0
9E,GRB,DTW,287.0
9E,GRB,JAX,1027.0
9E,GRB,MSP,252.0
9E,GRR,DTW,120.0
9E,GRR,LGA,618.0
9E,GRR,MSP,408.0
9E,GSO,ATL,306.0
9E,GSO,DTW,460.0
9E,GSO,LGA,461.0
9E,GSP,ATL,153.0
9E,GSP,DTW,508.0
9E,GSP,LGA,610.0
9E,GTR,ATL,241.0
9E,HPN,ATL,780.0
9E,HPN,DTW,505.0
9E,HSV,ATL,151.0
9E,HSV,DTW,554.0
9E,HSV,OKC,616.0
9E,IAD,DTW,383.0
9E,IAD,JFK,228.0
9E,IAD,MSP,908.0
9E,ICT,ATL,782.0
9E,ICT,MSP,545.0
9E,ILM,ATL,377.0
9E,ILM,LGA,500.0
9E,IND,DTW,231.0
9E,IND,JFK,665.0
9E,IND,LGA,660.0
9E,IND,MSP,503.0
9E,ITH,JFK,189.0
9E,JAN,ATL,341.0
9E,JAX,DTW,813.0
9E,JAX,JFK,828.0
9E,JAX,LGA,833.0
9E,JFK,AGS,675.0
9E,JFK,BGR,382.0
9E,JFK,BNA,765.0
9E,JFK,BTV,266.0
9E,JFK,BUF,301.0
9E,JFK,BWI,184.0
9E,JFK,CHS,636.0
9E,JFK,CLE,425.0
9E,JFK,CLT,541.0
9E,JFK,CMH,483.0
9E,JFK,CVG,589.0
9E,JFK,DCA,213.0
9E,JFK,DFW,1391.0
9E,JFK,DTW,509.0
9E,JFK,IAD,228.0
9E,JFK,IND,665.0
9E,JFK,ITH,189.0
9E,JFK,JAX,828.0
9E,JFK,MCI,1113.0
9E,JFK,MKE,745.0
9E,JFK,MSP,1029.0
9E,JFK,ORD,740.0
9E,JFK,ORF,290.0
9E,JFK,PIT,340.0
9E,JFK,PWM,273.0
9E,JFK,RDU,427.0
9E,JFK,RIC,288.0
9E,JFK,ROC,264.0
9E,JFK,SAV,718.0
9E,JFK,SDF,662.0
9E,JFK,SYR,209.0
9E,LAN,DTW,74.0
9E,LEX,ATL,304.0
9E,LEX,DTW,296.0
9E,LFT,ATL,503.0
9E,LGA,AGS,678.0
9E,LGA,ALB,136.0
9E,LGA,AVL,599.0
9E,LGA,BDL,101.0
9E,LGA,BGM,147.0
9E,LGA,BGR,378.0
9E,LGA,BHM,866.0
9E,LGA,BNA,764.0
9E,LGA,BTV,258.0
9E,LGA,BUF,292.0
9E,LGA,CAE,617.0
9E,LGA,CHA,734.0
9E,LGA,CHO,305.0
9E,LGA,CHS,641.0
9E,LGA,CLE,419.0
9E,LGA,CLT,544.0
9E,LGA,CMH,479.0
9E,LGA,CVG,585.0
9E,LGA,DAY,549.0
9E,LGA,DSM,1031.0
9E,LGA,DTW,502.0
9E,LGA,GRR,618.0
9E,LGA,GSO,461.0
9E,LGA,GSP,610.0
9E,LGA,ILM,500.0
9E,LGA,IND,660.0
9E,LGA,JAX,833.0
9E,LGA,LIT,1085.0
9E,LGA,MCI,1107.0
9E,LGA,MEM,963.0
9E,LGA,MKE,738.0
9E,LGA,MSN,812.0
9E,LGA,MSP,1020.0
9E,LGA,MYR,563.0
9E,LGA,OMA,1148.0
9E,LGA,ORF,296.0
9E,LGA,ORH,146.0
9E,LGA,PIT,335.0
9E,LGA,PNS,1030.0
9E,LGA,PVD,143.0
9E,LGA,PWM,269.0
9E,LGA,RDU,431.0
9E,LGA,RIC,292.0
9E,LGA,ROA,405.0
9E,LGA,ROC,254.0
9E,LGA,SAV,722.0
9E,LGA,SBN,651.0
9E,LGA,SDF,659.0
9E,LGA,STL,888.0
9E,LGA,SYR,198.0
9E,LGA,TUL,1231.0
9E,LGA,TVC,655.0
9E,LGA,TYS,647.0
9E,LGA,XNA,1147.0
9E,LIT,ATL,453.0
9E,LIT,LGA,1085.0
9E,MBS,DTW,98.0
9E,MCI,BHM,594.0
9E,MCI,DTW,629.0
9E,MCI,JFK,1113.0
9E,MCI,LGA,1107.0
9E,MCI,MSP,393.0
9E,MDT,ATL,620.0
9E,MDT,DTW,371.0
9E,MDT,MSP,898.0
9E,MEM,ATL,332.0
9E,MEM,DTW,610.0
9E,MEM,LGA,963.0
9E,MEM,MSP,700.0
9E,MGM,ATL,147.0
9E,MIA,RDU,700.0
9E,MKE,DTW,237.0
9E,MKE,JFK,745.0
9E,MKE,LGA,738.0
9E,MKE,MSP,297.0
9E,MLI,ATL,633.0
9E,MLU,ATL,448.0
9E,MOB,ATL,302.0
9E,MQT,DTW,349.0
9E,MSN,ATL,707.0
9E,MSN,DTW,311.0
9E,MSN,LGA,812.0
9E,MSN,MSP,228.0
9E,MSP,ATW,236.0
9E,MSP,BDL,1050.0
9E,MSP,BIS,386.0
9E,MSP,CHS,1087.0
9E,MSP,CID,220.0
9E,MSP,CLE,622.0
9E,MSP,CLT,930.0
9E,MSP,CMH,626.0
9E,MSP,CVG,596.0
9E,MSP,CWA,175.0
9E,MSP,DCA,931.0
9E,MSP,DLH,144.0
9E,MSP,DSM,232.0
9E,MSP,FAR,223.0
9E,MSP,FSD,196.0
9E,MSP,FWA,488.0
9E,MSP,GFK,284.0
9E,MSP,GRB,252.0
9E,MSP,GRR,408.0
9E,MSP,IAD,908.0
9E,MSP,ICT,545.0
9E,MSP,IND,503.0
9E,MSP,JFK,1029.0
9E,MSP,MCI,393.0
9E,MSP,MDT,898.0
9E,MSP,MEM,700.0
9E,MSP,MKE,297.0
9E,MSP,MSN,228.0
9E,MSP,OMA,282.0
9E,MSP,ORD,334.0
9E,MSP,ORF,1045.0
9E,MSP,PIT,726.0
9E,MSP,RAP,489.0
9E,MSP,RDU,980.0
9E,MSP,RIC,970.0
9E,MSP,RST,76.0
9E,MSP,SAV,1092.0
9E,MSP,SBN,411.0
9E,MSP,SDF,604.0
9E,MSP,STL,448.0
9E,MSP,SYR,860.0
9E,MSP,TVC,376.0
9E,MSP,TYS,792.0
9E,MSP,XNA,596.0
9E,MSY,DTW,926.0
9E,MYR,LGA,563.0
9E,OAJ,ATL,399.0
9E,OKC,ATL,761.0
9E,OKC,CAE,943.0
9E,OKC,HSV,616.0
9E,OMA,DTW,651.0
9E,OMA,LGA,1148.0
9E,OMA,MSP,282.0
9E,ORD,DTW,235.0
9E,ORD,JFK,740.0
9E,ORD,MSP,334.0
9E,ORF,DTW,529.0
9E,ORF,JFK,290.0
9E,ORF,LGA,296.0
9E,ORF,MSP,1045.0
9E,ORH,LGA,146.0
9E,PHL,DTW,453.0
9E,PIT,DTW,201.0
9E,PIT,JFK,340.0
9E,PIT,LGA,335.0
9E,PIT,MSP,726.0
9E,PNS,ATL,271.0
9E,PNS,LGA,1030.0
9E,PVD,DTW,615.0
9E,PVD,LGA,143.0
9E,PWM,DTW,668.0
9E,PWM,JFK,273.0
9E,PWM,LGA,269.0
9E,RAP,MSP,489.0
9E,RDU,ATL,356.0
9E,RDU,AUS,1162.0
9E,RDU,BNA,442.0
9E,RDU,CVG,390.0
9E,RDU,DCA,227.0
9E,RDU,DTW,501.0
9E,RDU,EWR,416.0
9E,RDU,FLL,680.0
9E,RDU,JFK,427.0
9E,RDU,LGA,431.0
9E,RDU,MIA,700.0
9E,RDU,MSP,980.0
9E,RDU,TLH,496.0
9E,RDU,TPA,587.0
9E,RIC,DTW,456.0
9E,RIC,JFK,288.0
9E,RIC,LGA,292.0
9E,RIC,MSP,970.0
9E,ROA,ATL,357.0
9E,ROA,LGA,405.0
9E,ROC,DTW,296.0
9E,ROC,JFK,264.0
9E,ROC,LGA,254.0
9E,RST,MSP,76.0
9E,RSW,CVG,879.0
9E,SAV,JFK,718.0
9E,SAV,LGA,722.0
9E,SAV,MSP,1092.0
9E,SBN,ATL,566.0
9E,SBN,DTW,157.0
9E,SBN,LGA,651.0
9E,SBN,TLH,788.0
9E,SDF,DTW,306.0
9E,SDF,JFK,662.0
9E,SDF,LGA,659.0
9E,SDF,MSP,604.0
9E,SGF,ATL,563.0
9E,SHV,ATL,551.0
9E,STL,DTW,440.0
9E,STL,LGA,888.0
9E,STL,MSP,448.0
9E,SYR,DTW,374.0
9E,SYR,JFK,209.0
9E,SYR,LGA,198.0
9E,SYR,MSP,860.0
9E,TLH,ATL,223.0
9E,TLH,RDU,496.0
9E,TLH,SBN,788.0
9E,TPA,CVG,773.0
9E,TPA,RDU,587.0
9E,TRI,ATL,227.0
9E,TUL,ATL,674.0
9E,TUL,LGA,1231.0
9E,TVC,DTW,207.0
9E,TVC,LGA,655.0
9E,TVC,MSP,376.0
9E,TYS,ATL,152.0
9E,TYS,DTW,443.0
9E,TYS,LGA,647.0
9E,TYS,MSP,792.0
9E,TYS,XNA,578.0
9E,VLD,ATL,208.0
9E,VPS,ATL,250.0
9E,XNA,ATL,589.0
9E,XNA,AUS,462.0
9E,XNA,DTW,715.0
9E,XNA,LGA,1147.0
9E,XNA,MSP,596.0
9E,XNA,TYS,578.0
AA,ABQ,AUS,619.0
AA,ABQ,DFW,569.0
AA,ABQ,ORD,1118.0
AA,ABQ,PHX,328.0
AA,AGS,CLT,140.0
AA,AGS,DFW,874.0
AA,AGS,PHX,1731.0
AA,ALB,CLT,646.0
AA,ALB,DFW,1435.0
AA,AMA,DFW,312.0
AA,ANC,DFW,3043.0
AA,ANC,ORD,2846.0
AA,ATL,AUS,813.0
AA,ATL,CLT,226.0
AA,ATL,DCA,547.0
AA,ATL,DFW,731.0
AA,ATL,LAX,1947.0
AA,ATL,MIA,594.0
AA,ATL,ORD,606.0
AA,ATL,PHL,666.0
AA,ATL,PHX,1587.0
AA,AUS,ABQ,619.0
AA,AUS,ATL,813.0
AA,AUS,BOS,1698.0
AA,AUS,CLT,1032.0
AA,AUS,DFW,190.0
AA,AUS,DTW,1149.0
AA,AUS,JFK,1521.0
AA,AUS,LAS,1090.0
AA,AUS,LAX,1242.0
AA,AUS,MCO,994.0
AA,AUS,MIA,1103.0
AA,AUS,MSY,444.0
AA,AUS,ORD,977.0
AA,AUS,PHL,1430.0
AA,AUS,PHX,872.0
AA,AUS,RDU,1162.0
AA,AUS,SNA,1209.0
AA,AUS,TPA,928.0
AA,AVL,CLT,91.0
AA,AVL,DFW,848.0
AA,AVP,CLT,509.0
AA,BDL,CLT,644.0
AA,BDL,DCA,313.0
AA,BDL,DFW,1471.0
AA,BDL,MIA,1194.0
AA,BDL,ORD,783.0
AA,BDL,PHL,196.0
AA,BFL,DFW,1271.0
AA,BFL,PHX,425.0
AA,BGR,CLT,921.0
AA,BGR,DCA,590.0
AA,BGR,PHL,473.0
AA,BHM,CLT,350.0
AA,BHM,DFW,597.0
AA,BHM,MSN,675.0
AA,BHM,ORD,584.0
AA,BNA,CLT,328.0
AA,BNA,DCA,562.0
AA,BNA,DFW,631.0
AA,BNA,LAX,1797.0
AA,BNA,LGA,764.0
AA,BNA,MIA,806.0
AA,BNA,ORD,409.0
AA,BNA,PHL,675.0
AA,BNA,PHX,1449.0
AA,BOI,DFW,1272.0
AA,BOI,PHX,735.0
AA,BOS,AUS,1698.0
AA,BOS,CLT,728.0
AA,BOS,DCA,399.0
AA,BOS,DFW,1562.0
AA,BOS,JFK,187.0
AA,BOS,LAX,2611.0
AA,BOS,LGA,184.0
AA,BOS,MIA,1258.0
AA,BOS,MSN,932.0
AA,BOS,ORD,867.0
AA,BOS,PBI,1197.0
AA,BOS,PHL,280.0
AA,BOS,PHX,2300.0
AA,BTV,CLT,761.0
AA,BTV,DCA,437.0
AA,BTV,DFW,1510.0
AA,BTV,PHL,335.0
AA,BUF,CLT,546.0
AA,BUF,DCA,296.0
AA,BUF,DFW,1212.0
AA,BUF,MIA,1185.0
AA,BUF,ORD,474.0
AA,BUF,PHL,279.0
AA,BUR,DFW,1231.0
AA,BUR,PHX,369.0
AA,BWI,CLT,361.0
AA,BWI,DFW,1217.0
AA,BWI,MIA,946.0
AA,BWI,ORD,622.0
AA,BZN,CLT,1736.0
AA,BZN,DFW,1163.0
AA,BZN,ORD,1185.0
AA,CAE,DFW,922.0
AA,CHS,CLT,168.0
AA,CHS,DCA,444.0
AA,CHS,DFW,987.0
AA,CHS,MIA,489.0
AA,CHS,ORD,760.0
AA,CHS,PHL,550.0
AA,CID,CLT,742.0
AA,CID,DFW,685.0
AA,CID,ORD,196.0
AA,CID,PHX,1252.0
AA,CLE,CLT,430.0
AA,CLE,DFW,1021.0
AA,CLE,MIA,1080.0
AA,CLE,ORD,316.0
AA,CLE,PHL,363.0
AA,CLE,PHX,1737.0
AA,CLT,AGS,140.0
AA,CLT,ALB,646.0
AA,CLT,ATL,226.0
AA,CLT,AUS,1032.0
AA,CLT,AVL,91.0
AA,CLT,AVP,509.0
AA,CLT,BDL,644.0
AA,CLT,BGR,921.0
AA,CLT,BHM,350.0
AA,CLT,BNA,328.0
AA,CLT,BOS,728.0
AA,CLT,BTV,761.0
AA,CLT,BUF,546.0
AA,CLT,BWI,361.0
AA,CLT,BZN,1736.0
AA,CLT,CHS,168.0
AA,CLT,CID,742.0
AA,CLT,CLE,430.0
AA,CLT,CMH,347.0
AA,CLT,CVG,335.0
AA,CLT,DAB,416.0
AA,CLT,DCA,331.0
AA,CLT,DEN,1337.0
AA,CLT,DFW,936.0
AA,CLT,DSM,815.0
AA,CLT,DTW,500.0
AA,CLT,ECP,437.0
AA,CLT,EWR,529.0
AA,CLT,EYW,736.0
AA,CLT,FLL,632.0
AA,CLT,GEG,2060.0
AA,CLT,GRR,583.0
AA,CLT,GSO,83.0
AA,CLT,GSP,75.0
AA,CLT,IAD,322.0
AA,CLT,IAH,912.0
AA,CLT,ILM,185.0
AA,CLT,IND,427.0
AA,CLT,JAC,1685.0
AA,CLT,JAX,328.0
AA,CLT,JFK,541.0
AA,CLT,LAS,1916.0
AA,CLT,LAX,2125.0
AA,CLT,LEX,281.0
AA,CLT,LGA,544.0
AA,CLT,LIT,640.0
AA,CLT,MCI,808.0
AA,CLT,MCO,468.0
AA,CLT,MDT,413.0
AA,CLT,MEM,511.0
AA,CLT,MHT,737.0
AA,CLT,MIA,650.0
AA,CLT,MKE,651.0
AA,CLT,MSN,708.0
AA,CLT,MSP,930.0
AA,CLT,MSY,651.0
AA,CLT,MYR,157.0
AA,CLT,OKC,940.0
AA,CLT,OMA,913.0
AA,CLT,ONT,2078.0
AA,CLT,ORD,599.0
AA,CLT,ORF,290.0
AA,CLT,PBI,590.0
AA,CLT,PDX,2282.0
AA,CLT,PHL,449.0
AA,CLT,PHX,1773.0
AA,CLT,PIT,366.0
AA,CLT,PNS,488.0
AA,CLT,PVD,683.0
AA,CLT,PWM,813.0
AA,CLT,RAP,1322.0
AA,CLT,RDU,130.0
AA,CLT,RIC,257.0
AA,CLT,ROC,573.0
AA,CLT,RSW,600.0
AA,CLT,SAN,2077.0
AA,CLT,SAT,1095.0
AA,CLT,SAV,213.0
AA,CLT,SDF,335.0
AA,CLT,SEA,2279.0
AA,CLT,SFO,2296.0
AA,CLT,SJU,1475.0
AA,CLT,SLC,1727.0
AA,CLT,SMF,2244.0
AA,CLT,SNA,2099.0
AA,CLT,SRQ,547.0
AA,CLT,STL,575.0
AA,CLT,STT,1520.0
AA,CLT,STX,1562.0
AA,CLT,SYR,603.0
AA,CLT,TPA,507.0
AA,CLT,TUL,842.0
AA,CLT,TYS,177.0
AA,CLT,VPS,460.0
AA,CLT,XNA,754.0
AA,CMH,CLT,347.0
AA,CMH,DFW,926.0
AA,CMH,EUG,2072.0
AA,CMH,LAX,1995.0
AA,CMH,MIA,990.0
AA,CMH,ORD,296.0
AA,CMH,PHL,406.0
AA,CMH,PHX,1670.0
AA,COS,DFW,592.0
AA,CVG,CLT,335.0
AA,CVG,DFW,812.0
AA,CVG,MIA,948.0
AA,CVG,PHL,507.0
AA,CVG,PHX,1569.0
AA,DAB,CLT,416.0
AA,DAB,DFW,981.0
AA,DCA,ATL,547.0
AA,DCA,BDL,313.0
AA,DCA,BGR,590.0
AA,DCA,BNA,562.0
AA,DCA,BOS,399.0
AA,DCA,BTV,437.0
AA,DCA,BUF,296.0
AA,DCA,CHS,444.0
AA,DCA,CLT,331.0
AA,DCA,DFW,1192.0
AA,DCA,ECP,769.0
AA,DCA,EYW,1023.0
AA,DCA,FLL,899.0
AA,DCA,IND,500.0
AA,DCA,JAX,634.0
AA,DCA,LAS,2089.0
AA,DCA,LAX,2311.0
AA,DCA,LGA,214.0
AA,DCA,MCI,949.0
AA,DCA,MCO,759.0
AA,DCA,MIA,919.0
AA,DCA,MKE,634.0
AA,DCA,MSP,931.0
AA,DCA,MSY,969.0
AA,DCA,OKC,1158.0
AA,DCA,ORD,612.0
AA,DCA,PBI,857.0
AA,DCA,PHL,119.0
AA,DCA,PHX,1979.0
AA,DCA,PIT,204.0
AA,DCA,PNS,816.0
AA,DCA,PVD,356.0
AA,DCA,PWM,482.0
AA,DCA,RDU,227.0
AA,DCA,RSW,892.0
AA,DCA,SDF,474.0
AA,DCA,SRQ,851.0
AA,DCA,STL,719.0
AA,DCA,SYR,298.0
AA,DCA,TPA,814.0
AA,DCA,TUL,1049.0
AA,DCA,VPS,789.0
AA,DEN,CLT,1337.0
AA,DEN,DFW,641.0
AA,DEN,MIA,1709.0
AA,DEN,ORD,888.0
AA,DEN,PHL,1558.0
AA,DEN,PHX,602.0
AA,DFW,ABQ,569.0
AA,DFW,AGS,874.0
AA,DFW,ALB,1435.0
AA,DFW,AMA,312.0
AA,DFW,ANC,3043.0
AA,DFW,ATL,731.0
AA,DFW,AUS,190.0
AA,DFW,AVL,848.0
AA,DFW,BDL,1471.0
AA,DFW,BFL,1271.0
AA,DFW,BHM,597.0
AA,DFW,BNA,631.0
AA,DFW,BOI,1272.0
AA,DFW,BOS,1562.0
AA,DFW,BTV,1510.0
AA,DFW,BUF,1212.0
AA,DFW,BUR,1231.0
AA,DFW,BWI,1217.0
AA,DFW,BZN,1163.0
AA,DFW,CAE,922.0
AA,DFW,CHS,987.0
AA,DFW,CID,685.0
AA,DFW,CLE,1021.0
AA,DFW,CLT,936.0
AA,DFW,CMH,926.0
AA,DFW,COS,592.0
AA,DFW,CVG,812.0
AA,DFW,DAB,981.0
AA,DFW,DCA,1192.0
AA,DFW,DEN,641.0
AA,DFW,DRO,674.0
AA,DFW,DSM,624.0
AA,DFW,DTW,986.0
AA,DFW,ECP,685.0
AA,DFW,EGE,721.0
AA,DFW,ELP,551.0
AA,DFW,EUG,1606.0
AA,DFW,EWR,1372.0
AA,DFW,EYW,1089.0
AA,DFW,FAT,1313.0
AA,DFW,FCA,1390.0
AA,DFW,FLL,1119.0
AA,DFW,FSD,737.0
AA,DFW,GEG,1477.0
AA,DFW,GRR,931.0
AA,DFW,GSO,999.0
AA,DFW,GSP,862.0
AA,DFW,GUC,678.0
AA,DFW,HDN,769.0
AA,DFW,HNL,3784.0
AA,DFW,HSV,603.0
AA,DFW,IAD,1172.0
AA,DFW,IAH,224.0
AA,DFW,ICT,328.0
AA,DFW,ILM,1106.0
AA,DFW,IND,761.0
AA,DFW,JAC,1047.0
AA,DFW,JAX,918.0
AA,DFW,JFK,1391.0
AA,DFW,LAS,1055.0
AA,DFW,LAX,1235.0
AA,DFW,LBB,282.0
AA,DFW,LEX,785.0
AA,DFW,LGA,1389.0
AA,DFW,LIT,304.0
AA,DFW,MCI,460.0
AA,DFW,MCO,985.0
AA,DFW,MDT,1231.0
AA,DFW,MEM,431.0
AA,DFW,MFE,469.0
AA,DFW,MIA,1121.0
AA,DFW,MKE,853.0
AA,DFW,MRY,1430.0
AA,DFW,MSN,821.0
AA,DFW,MSO,1320.0
AA,DFW,MSP,852.0
AA,DFW,MSY,447.0
AA,DFW,MTJ,722.0
AA,DFW,MYR,1048.0
AA,DFW,OGG,3711.0
AA,DFW,OKC,175.0
AA,DFW,OMA,583.0
AA,DFW,ONT,1188.0
AA,DFW,ORD,802.0
AA,DFW,ORF,1212.0
AA,DFW,PBI,1102.0
AA,DFW,PDX,1616.0
AA,DFW,PHL,1303.0
AA,DFW,PHX,868.0
AA,DFW,PIT,1067.0
AA,DFW,PNS,604.0
AA,DFW,PSP,1126.0
AA,DFW,PWM,1622.0
AA,DFW,RAP,835.0
AA,DFW,RDM,1514.0
AA,DFW,RDU,1061.0
AA,DFW,RIC,1158.0
AA,DFW,RNO,1345.0
AA,DFW,RSW,1017.0
AA,DFW,SAN,1171.0
AA,DFW,SAT,247.0
AA,DFW,SAV,925.0
AA,DFW,SBA,1316.0
AA,DFW,SBP,1360.0
